location,property_type,area,bedrooms,bathrooms,age,condition,amenities_score,demand_score,rent
City Center,House,2800,4,2,28,average,7,42,14247
Suburbs,Studio,1909,4,2,33,average,0,94,13341
City Center,Penthouse,3058,6,2,7,good,2,72,20180
Suburbs,Penthouse,4826,2,4,33,excellent,0,72,21545
Outskirts,Apartment,1603,4,1,16,average,1,47,10594
Near Park,Villa,1474,3,2,18,average,1,81,11458
Commercial Area,House,4547,5,2,29,good,2,7,13910
Suburbs,Penthouse,4938,6,1,12,excellent,9,54,19122
Commercial Area,Villa,3517,5,2,18,poor,1,6,18801
Suburbs,Apartment,4724,2,4,26,poor,0,52,21486
Near Park,Apartment,5455,1,1,2,excellent,3,31,13902
Outskirts,House,4033,4,3,31,poor,8,75,16339
Outskirts,House,4474,6,3,0,good,9,96,26952
Commercial Area,Penthouse,3458,3,4,34,excellent,1,88,17031
Near Park,Penthouse,5132,3,3,27,good,9,88,23548
Commercial Area,House,4602,6,4,12,excellent,4,38,19733
Outskirts,House,1635,5,4,4,poor,7,6,14080
City Center,Penthouse,1036,5,3,34,good,4,31,11790
Commercial Area,Penthouse,2917,4,1,2,poor,6,83,17877
Suburbs,Penthouse,707,6,4,10,excellent,1,86,14954
Outskirts,Apartment,5113,2,1,15,average,1,14,17227
Suburbs,Studio,442,5,1,2,poor,9,32,10569
Near Park,House,3932,3,1,10,average,7,33,17834
Outskirts,Apartment,4461,2,4,25,good,2,30,14325
Outskirts,Penthouse,5791,2,3,20,excellent,5,38,16458
Commercial Area,Studio,3709,2,3,11,excellent,4,73,12564
Commercial Area,Studio,3768,3,3,15,excellent,2,82,18767
Suburbs,Apartment,3058,4,3,35,poor,8,43,16284
Commercial Area,Villa,940,6,2,14,excellent,6,86,13789
City Center,Villa,3501,2,2,16,excellent,2,63,12836
Outskirts,Penthouse,3458,5,1,20,good,2,89,15742
Near Park,Villa,520,5,2,27,good,1,75,9332
Outskirts,Penthouse,1051,3,3,39,average,0,83,10276
Suburbs,Villa,5904,4,4,8,poor,2,31,18300
Commercial Area,Apartment,525,6,3,21,average,0,79,11482
Outskirts,Studio,5528,6,3,15,excellent,1,65,27327
Commercial Area,House,3911,1,1,11,excellent,1,24,14841
Suburbs,Studio,1854,4,3,9,excellent,4,48,11983
Commercial Area,Villa,4342,5,1,14,poor,7,34,18041
Near Park,Studio,4953,5,1,5,good,4,87,17364
Suburbs,Villa,2466,3,1,35,average,1,9,12029
Outskirts,Penthouse,2853,2,3,4,average,7,83,18096
Outskirts,House,1299,4,1,35,poor,1,16,8507
Near Park,Penthouse,4616,6,1,38,good,6,96,26985
City Center,House,2158,5,1,5,poor,2,75,16056
Commercial Area,Penthouse,4463,4,2,22,poor,5,51,21673
Outskirts,Penthouse,4464,1,2,8,good,4,72,12043
Near Park,Studio,4624,5,2,16,poor,5,40,18741
Commercial Area,House,504,5,4,19,excellent,2,54,12392
Suburbs,Studio,5495,4,4,35,good,0,78,27112
Near Park,Penthouse,1419,3,2,25,poor,5,18,8039
Suburbs,Studio,5963,1,4,36,poor,7,77,22447
Suburbs,Villa,4461,5,4,4,good,2,84,18382
Suburbs,Penthouse,5243,5,4,12,good,8,3,27016
Commercial Area,Villa,3872,5,4,8,good,2,20,18571
City Center,Penthouse,5294,5,1,2,average,4,50,19584
Suburbs,Villa,836,2,1,22,average,5,37,6783
Outskirts,Villa,2905,1,2,31,average,8,96,14557
Commercial Area,Penthouse,391,1,4,10,good,4,34,7338
Commercial Area,Villa,2607,2,3,38,good,3,83,11655
Suburbs,House,2569,1,4,33,average,0,44,14316
Outskirts,Villa,5293,4,4,2,good,4,63,26957
Near Park,Penthouse,5082,2,2,17,excellent,1,71,18145
Commercial Area,House,499,2,3,12,good,9,52,8143
Suburbs,House,490,2,1,5,poor,9,52,7621
Suburbs,House,5721,5,4,28,average,6,12,18273
City Center,Studio,4328,1,3,8,poor,4,42,13529
City Center,House,5305,4,1,6,excellent,1,45,14608
Near Park,Studio,1380,2,3,29,poor,9,86,10932
Near Park,Apartment,1496,3,1,2,excellent,6,55,9498
Near Park,Villa,3612,6,2,25,excellent,5,43,17076
Near Park,Studio,3212,4,2,20,excellent,1,25,11575
Suburbs,Penthouse,2107,3,3,34,good,0,63,11170
Suburbs,House,1362,2,1,39,excellent,9,53,8919
Suburbs,Penthouse,4394,3,3,12,excellent,1,60,21233
Outskirts,House,3330,6,4,24,excellent,3,53,22794
Near Park,Penthouse,3507,2,2,23,excellent,3,30,17518
Outskirts,Villa,2814,5,2,4,average,1,13,14185
Commercial Area,Villa,3929,4,1,38,average,7,46,17938
Commercial Area,Apartment,3679,2,2,23,excellent,8,82,15550
Suburbs,Penthouse,1062,4,1,27,average,6,53,10131
Commercial Area,Apartment,4869,1,4,39,good,8,45,21783
Suburbs,Penthouse,3745,2,4,3,excellent,0,68,16464
Near Park,Villa,4424,6,1,8,poor,8,34,19511
Outskirts,Apartment,350,5,3,8,good,0,31,9577
Suburbs,House,2588,5,4,23,excellent,7,45,19052
City Center,Villa,3894,5,4,23,good,1,17,20227
City Center,Studio,2136,1,1,28,average,8,78,11212
Near Park,Villa,3794,2,2,18,poor,4,12,13356
Outskirts,Villa,2578,3,4,36,average,6,59,12931
Suburbs,Studio,3405,6,1,14,poor,1,39,18752
Near Park,Penthouse,5961,3,1,4,average,3,75,19168
Outskirts,Studio,1600,4,3,39,poor,1,43,11197
City Center,Penthouse,4086,5,1,4,excellent,0,95,18943
Suburbs,Apartment,5934,5,1,4,good,7,34,21830
Outskirts,Apartment,2067,3,3,14,excellent,9,59,15272
Commercial Area,Apartment,1046,1,2,13,poor,0,10,4865
Suburbs,Studio,4139,2,4,19,good,9,22,19294
Commercial Area,Penthouse,1508,6,1,28,poor,4,49,14897
Near Park,House,1007,3,1,18,average,7,16,7290
Outskirts,Villa,5377,4,3,6,poor,8,37,23845
Outskirts,Studio,3172,6,3,25,average,4,84,17112
Outskirts,Apartment,3360,6,3,3,average,9,57,21558
Outskirts,House,2397,2,2,21,average,3,13,11934
Suburbs,Penthouse,1807,3,1,33,poor,2,99,12154
Commercial Area,Penthouse,3876,3,3,33,good,4,39,13703
Commercial Area,Penthouse,5925,4,1,8,average,1,45,22381
Near Park,Studio,3178,3,4,20,good,2,19,14851
Near Park,Villa,3540,3,1,5,poor,6,98,13573
Outskirts,Villa,3930,4,3,32,excellent,7,72,22987
City Center,House,5937,6,3,35,average,9,88,27132
City Center,Apartment,5997,4,3,14,poor,5,40,20135
Outskirts,Apartment,5513,5,3,18,average,4,48,20236
Commercial Area,Apartment,5847,6,1,7,good,5,23,21666
Near Park,Apartment,1854,3,1,17,excellent,3,45,10686
Suburbs,House,1609,5,2,7,poor,7,57,13730
City Center,House,4507,4,4,5,average,1,20,22683
Near Park,Penthouse,2456,3,1,38,excellent,4,28,11044
City Center,Studio,4173,3,3,14,average,0,91,15621
Commercial Area,Villa,4833,2,1,32,excellent,0,35,15120
Commercial Area,House,5231,1,2,5,poor,3,59,15613
Outskirts,Villa,4405,6,1,16,average,1,76,18960
Outskirts,Penthouse,894,3,2,38,poor,1,96,8724
City Center,Penthouse,651,4,3,9,poor,0,74,10083
City Center,House,2247,5,4,8,average,7,86,17808
Near Park,Apartment,5989,2,2,33,good,6,78,18343
Outskirts,Studio,1465,3,3,2,excellent,3,25,11773
Commercial Area,Villa,2576,5,2,22,poor,0,46,12742
Near Park,Villa,2214,2,2,27,excellent,6,54,11467
Near Park,Penthouse,4790,4,1,20,poor,0,87,23107
Suburbs,Villa,3447,1,3,0,poor,3,82,13893
Commercial Area,Apartment,4848,6,2,4,excellent,6,35,21366
Near Park,House,3706,4,2,30,average,4,90,19098
Suburbs,Studio,1345,4,4,23,excellent,9,84,13541
Outskirts,Studio,4592,1,3,37,good,3,19,16713
Commercial Area,Apartment,3220,1,4,33,good,2,95,17209
Outskirts,Villa,3371,3,1,9,good,3,82,18710
Suburbs,Apartment,2810,3,4,13,average,7,83,17335
Commercial Area,Studio,5794,1,1,17,good,8,77,25434
City Center,Apartment,4215,1,1,35,average,0,67,13321
City Center,Studio,4157,3,1,34,good,5,72,14207
City Center,Villa,2339,1,1,6,excellent,3,69,10319
Near Park,Studio,605,3,3,25,excellent,9,26,9562
City Center,Apartment,750,6,1,27,average,3,62,10254
Near Park,Penthouse,5064,4,2,19,poor,1,86,21138
Near Park,Studio,4803,5,3,5,average,8,17,22777
Suburbs,Penthouse,2589,6,1,8,poor,1,9,15940
City Center,Penthouse,1618,1,1,23,poor,0,98,7366
Commercial Area,Penthouse,4093,6,3,14,average,5,73,24716
Near Park,Apartment,4574,6,1,32,excellent,0,20,22309
Suburbs,Apartment,1676,4,2,8,poor,5,27,12938
Near Park,Villa,628,3,4,15,average,0,42,9194
Commercial Area,Studio,5700,3,2,19,poor,7,48,19932
Commercial Area,House,5755,1,3,23,average,9,95,16063
City Center,Penthouse,412,1,4,12,excellent,7,76,8879
Near Park,Studio,573,5,3,17,average,9,13,11131
Commercial Area,Penthouse,788,4,3,15,excellent,0,46,9576
Outskirts,Villa,5145,4,2,18,average,0,93,24210
Commercial Area,Apartment,5916,4,1,29,good,0,98,24415
Commercial Area,House,1896,2,2,32,good,9,2,8363
Near Park,Apartment,1318,5,3,6,average,9,98,15743
Commercial Area,Villa,533,5,3,25,average,2,30,9930
Suburbs,Villa,5185,6,3,5,excellent,2,48,23509
Commercial Area,Penthouse,1376,6,2,20,average,7,98,14614
Outskirts,Apartment,4574,3,2,21,good,8,61,24076
Commercial Area,Apartment,3656,6,3,26,poor,8,39,22830
City Center,House,1407,1,1,16,average,6,72,7800
Near Park,Studio,1930,3,1,3,poor,4,25,8989
Outskirts,Villa,5380,6,3,33,good,9,94,30611
Suburbs,Penthouse,5572,3,2,30,good,1,45,20389
Commercial Area,House,4984,3,1,8,excellent,3,79,19393
Commercial Area,Apartment,1399,5,1,35,poor,2,49,11026
Suburbs,Penthouse,631,4,2,1,excellent,1,56,9186
Commercial Area,Villa,1347,6,4,3,average,3,18,13773
City Center,Villa,2707,5,1,8,good,4,73,16035
Outskirts,Studio,2368,6,2,4,poor,5,33,13748
Commercial Area,Apartment,366,3,2,2,excellent,5,31,7364
Suburbs,Villa,4329,5,2,25,excellent,3,78,17405
Suburbs,Penthouse,1891,5,1,20,average,9,12,12504
Outskirts,Penthouse,4090,5,4,9,good,4,57,18609
City Center,Penthouse,2104,2,2,36,poor,3,60,9984
Outskirts,Apartment,4050,5,2,38,average,0,64,17398
Commercial Area,Apartment,339,2,4,6,excellent,8,29,7549
City Center,Villa,1845,4,3,1,poor,7,78,15464
City Center,Studio,3961,2,2,5,average,7,98,18688
Suburbs,Studio,1565,2,4,10,average,4,20,12289
City Center,Studio,4619,4,3,29,excellent,6,15,19809
Commercial Area,House,1648,3,4,28,average,8,23,12741
Commercial Area,Apartment,1379,3,2,16,average,6,73,12300
Commercial Area,Apartment,1826,1,2,27,excellent,3,53,8312
Near Park,Villa,1567,3,1,13,poor,6,98,12025
City Center,Penthouse,4983,6,3,5,good,9,53,25057
City Center,Apartment,3867,4,2,2,average,6,22,17964
Commercial Area,Studio,5774,6,3,30,excellent,4,36,22119
Suburbs,House,2175,3,3,0,excellent,4,48,14784
City Center,Penthouse,339,6,3,12,excellent,2,46,10761
Near Park,Penthouse,4067,6,1,10,good,1,60,21954
City Center,House,2423,1,3,16,poor,8,2,9372
Outskirts,House,1055,5,4,6,average,2,40,13667
Near Park,Apartment,371,2,1,14,poor,1,42,4859
Suburbs,House,509,1,4,32,average,9,29,6852
Near Park,Villa,1619,2,4,9,good,5,60,10550
Near Park,Penthouse,5268,3,4,35,excellent,8,23,23116
City Center,Penthouse,4475,6,3,17,poor,9,27,24880
Near Park,Studio,3450,1,3,24,excellent,5,70,16699
Commercial Area,Apartment,3123,3,2,1,average,3,3,13498
Near Park,Studio,1402,2,2,31,poor,7,10,9311
City Center,Apartment,5481,6,1,31,average,6,43,27717
Commercial Area,Apartment,879,6,4,3,average,1,97,14892
Suburbs,Apartment,3351,6,1,12,average,9,75,16008
Outskirts,Villa,1930,1,1,26,average,2,68,9164
Near Park,House,2804,6,4,17,poor,5,11,16392
Commercial Area,House,1617,1,2,13,poor,7,92,9727
Commercial Area,Villa,484,5,2,25,good,8,57,11326
Suburbs,Studio,5882,2,1,11,poor,0,48,13553
Suburbs,Apartment,3806,6,2,29,poor,6,20,20708
Outskirts,Villa,1251,5,2,15,good,1,51,12157
Outskirts,Studio,5738,3,4,10,good,2,72,22812
City Center,House,3012,1,1,39,excellent,9,40,9858
Outskirts,Penthouse,3047,2,4,32,poor,3,10,12590
Outskirts,Apartment,5100,3,4,15,poor,6,62,22954
Commercial Area,Apartment,2644,1,2,24,poor,3,60,13034
Near Park,Apartment,1771,6,4,4,poor,4,61,16482
Near Park,House,3333,4,4,19,good,2,15,19191
Outskirts,Apartment,1206,1,4,18,excellent,3,28,7793
City Center,Apartment,3927,2,4,35,average,7,28,15133
City Center,House,3933,5,2,28,average,5,33,16011
Near Park,Villa,3543,5,4,23,excellent,2,66,21182
Suburbs,Studio,5723,2,4,15,average,3,6,14654
Commercial Area,Penthouse,3353,4,3,34,excellent,5,60,18735
Outskirts,Studio,5834,4,3,26,excellent,5,12,25113
Commercial Area,House,2764,3,2,29,poor,9,56,13412
Outskirts,House,2368,3,4,18,good,1,35,12546
Outskirts,Studio,5895,6,3,6,excellent,2,82,27240
Near Park,House,3882,1,3,26,average,5,69,17446
Commercial Area,Penthouse,5426,3,4,14,good,1,89,21484
Commercial Area,Apartment,5064,4,3,15,good,9,63,24281
Suburbs,Villa,1373,4,3,2,excellent,3,19,11950
Suburbs,Penthouse,4269,5,1,26,poor,8,2,22452
Commercial Area,House,3510,3,4,3,poor,0,11,17738
Suburbs,Villa,942,2,1,23,poor,1,51,5572
Suburbs,Studio,4149,2,3,28,good,0,26,18982
Outskirts,Apartment,1560,4,1,19,poor,1,15,8350
Near Park,Studio,670,4,2,25,excellent,7,89,10458
Outskirts,Villa,2846,5,2,7,poor,4,94,15168
Suburbs,Apartment,1653,6,4,21,good,7,12,16858
Outskirts,Studio,3906,6,2,0,excellent,8,88,23057
Outskirts,Villa,5976,2,1,2,average,0,89,14583
City Center,Apartment,1518,5,4,28,average,8,74,16382
Outskirts,House,3699,6,2,11,average,5,36,21967
Outskirts,Apartment,4443,5,4,12,excellent,6,30,20192
Near Park,Villa,4412,6,1,12,poor,2,21,19756
Commercial Area,Penthouse,1084,3,3,6,excellent,2,46,9388
City Center,Villa,5020,1,2,20,poor,9,36,13417
City Center,Penthouse,4067,3,1,7,excellent,2,14,14586
City Center,Studio,403,4,1,34,poor,3,99,9111
City Center,House,3313,3,4,19,good,6,23,17068
Near Park,Apartment,2434,2,2,12,average,3,77,13696
Commercial Area,Villa,1765,1,3,8,excellent,7,88,12486
Near Park,House,2445,4,2,6,poor,7,70,16113
City Center,Penthouse,1672,1,3,14,average,9,53,10688
Commercial Area,Penthouse,3169,6,2,30,poor,2,87,18506
Near Park,Villa,3324,6,3,21,excellent,4,1,19456
Commercial Area,Penthouse,5670,5,4,39,poor,6,79,24341
Near Park,House,2629,2,1,15,excellent,7,28,11911
Commercial Area,House,5484,5,4,17,excellent,6,5,17681
Near Park,House,624,3,1,30,good,6,18,6440
City Center,Villa,2697,2,1,10,poor,1,71,10453
City Center,Penthouse,415,4,2,17,average,1,4,6541
City Center,Penthouse,1484,4,3,2,good,4,66,13663
Near Park,Studio,5909,3,4,28,excellent,2,13,17050
Commercial Area,Apartment,3951,3,2,33,average,3,44,18845
Commercial Area,Apartment,5701,4,3,21,excellent,4,15,24915
Suburbs,Penthouse,5506,4,2,7,poor,4,67,20906
Outskirts,Penthouse,4886,5,4,16,average,6,71,28554
City Center,House,4735,1,1,9,good,5,11,12051
City Center,Villa,1873,5,3,36,poor,2,10,13672
City Center,Penthouse,3374,6,2,35,average,9,53,21305
Suburbs,Studio,400,3,4,28,poor,1,69,9633
Suburbs,Studio,2028,3,1,33,poor,8,80,12770
Suburbs,Penthouse,4088,4,3,10,average,2,26,20898
City Center,Apartment,3862,4,4,26,good,9,7,19950
Commercial Area,Villa,3513,2,4,4,poor,7,63,15240
City Center,Studio,3498,6,1,30,good,3,49,19499
Suburbs,Penthouse,5593,2,4,10,good,8,17,25033
Suburbs,Penthouse,417,1,2,1,good,2,43,4478
Outskirts,House,4420,5,3,4,excellent,4,35,22371
Near Park,Studio,569,5,3,3,poor,1,70,11920
Outskirts,House,4620,4,3,39,excellent,3,7,17976
Outskirts,Villa,3124,3,2,36,good,4,2,10863
City Center,Villa,3550,2,3,11,poor,4,9,16079
Near Park,Studio,2097,1,1,33,excellent,4,2,10769
Near Park,House,4014,6,4,9,good,9,99,24140
City Center,Apartment,3731,6,3,32,average,5,41,22209
Commercial Area,House,3025,3,1,6,poor,8,8,14370
City Center,Studio,3246,4,4,25,excellent,9,96,18124
Commercial Area,Studio,4346,1,2,23,poor,4,5,14865
Commercial Area,House,3655,2,2,22,excellent,0,30,11935
Near Park,Penthouse,3151,2,3,7,poor,1,65,11653
City Center,Penthouse,3482,5,1,32,good,5,64,17491
City Center,Apartment,1674,2,2,7,poor,5,39,12128
Near Park,Apartment,4240,2,4,20,good,8,89,18333
Outskirts,Apartment,1017,1,1,20,poor,9,70,6604
City Center,Studio,661,6,2,2,poor,9,49,12710
Suburbs,Studio,4198,2,2,23,poor,1,62,14544
Suburbs,Penthouse,5149,5,4,6,excellent,1,97,28539
City Center,House,3712,3,1,39,excellent,1,76,14830
Commercial Area,Villa,3978,6,3,9,average,9,14,22525
Near Park,House,1708,2,3,31,poor,4,20,10065
Commercial Area,Penthouse,5381,4,2,34,poor,3,66,22543
Suburbs,Penthouse,5995,1,1,11,average,6,43,12629
Suburbs,Penthouse,1262,2,3,29,poor,2,81,9498
Near Park,Penthouse,1209,6,4,28,average,8,16,14498
Suburbs,Studio,1954,1,2,5,poor,8,52,10405
Outskirts,Apartment,3399,5,3,14,excellent,2,4,17872
Suburbs,Apartment,5911,2,1,19,excellent,7,7,17929
Commercial Area,House,818,6,3,8,average,1,42,12443
Commercial Area,House,5215,5,2,27,poor,6,12,23456
Outskirts,Penthouse,2777,2,2,38,poor,2,11,12578
Commercial Area,Penthouse,2058,3,4,39,excellent,2,86,13983
Commercial Area,Villa,5007,5,3,39,poor,6,41,16710
Commercial Area,Apartment,1247,4,3,37,average,8,48,10957
City Center,Penthouse,5400,1,1,34,excellent,6,27,13874
Outskirts,House,4522,6,1,27,poor,9,99,18666
Outskirts,House,3417,3,1,15,good,7,21,12907
Suburbs,House,2397,6,3,2,good,5,75,18485
Outskirts,Villa,5088,6,2,38,good,4,42,21929
Near Park,Penthouse,982,2,2,24,average,2,74,8054
Outskirts,Penthouse,4000,3,2,3,excellent,6,48,19724
Near Park,Penthouse,884,4,2,21,good,5,17,7817
Commercial Area,Villa,3148,1,1,13,average,8,52,10766
Near Park,Penthouse,2250,2,4,18,average,8,12,12737
City Center,Apartment,5969,6,4,8,good,6,47,21580
Commercial Area,Penthouse,3273,1,4,12,good,2,82,17201
Near Park,Penthouse,4651,6,2,23,poor,9,60,25310
Commercial Area,House,4204,2,3,9,excellent,7,53,18104
City Center,Penthouse,975,5,1,35,average,9,34,9768
Commercial Area,Studio,1448,1,2,10,average,0,15,7386
Commercial Area,Villa,2537,5,2,8,good,3,1,14894
Outskirts,House,4184,3,1,22,poor,5,47,15660
Suburbs,Villa,5641,2,2,18,average,1,26,21241
Near Park,Studio,1323,2,2,16,excellent,3,19,8413
Suburbs,House,3424,4,4,22,excellent,5,61,16323
City Center,House,842,1,4,5,excellent,2,47,8399
City Center,Studio,2566,1,4,10,good,8,63,11585
Commercial Area,Studio,3762,5,1,6,good,3,77,16750
Suburbs,Apartment,1930,2,2,32,average,4,13,8575
Near Park,House,5575,1,4,38,good,4,51,18489
Near Park,Villa,3436,6,4,34,average,4,64,21841
Commercial Area,Penthouse,1092,3,1,13,average,3,93,10564
Near Park,Studio,3880,3,1,16,excellent,0,87,17121
Outskirts,Apartment,4644,4,3,32,poor,8,80,19171
Suburbs,Studio,3110,6,1,20,average,5,19,16038
City Center,Villa,2938,6,4,28,poor,4,99,18899
Near Park,Penthouse,5763,5,2,9,excellent,6,14,24333
Near Park,Penthouse,4285,4,2,9,excellent,7,66,21137
Near Park,Studio,1383,5,4,34,good,3,22,14555
Commercial Area,Penthouse,3220,3,4,30,poor,2,54,15346
City Center,Penthouse,2250,5,2,6,good,6,63,14929
Suburbs,Villa,3963,4,2,18,poor,5,1,15725
Near Park,Studio,3535,6,3,37,poor,9,93,22589
Outskirts,Apartment,5565,2,3,10,average,9,4,14974
Commercial Area,Apartment,1138,1,4,11,average,5,31,6643
Suburbs,House,3921,1,2,0,average,2,2,14350
Near Park,Villa,1626,1,3,6,average,5,92,12379
Suburbs,Studio,3820,6,4,22,excellent,4,80,21068
Commercial Area,Penthouse,5465,4,4,5,poor,9,60,22230
Outskirts,Villa,1538,2,3,26,poor,9,88,11644
Near Park,Studio,1752,4,3,33,good,3,76,13845
Outskirts,Studio,562,1,4,29,excellent,2,68,7827
Commercial Area,Villa,3870,5,1,22,good,0,31,19637
Outskirts,Villa,5893,2,2,8,excellent,0,8,13222
Commercial Area,Villa,3319,3,3,6,poor,2,37,17584
Outskirts,House,3695,2,2,35,poor,3,84,15686
Suburbs,Penthouse,4307,6,3,37,poor,2,24,18337
Suburbs,Villa,5670,6,2,12,good,6,89,24699
Commercial Area,House,3063,5,1,5,excellent,8,97,21834
Suburbs,Apartment,2773,3,3,36,poor,4,36,11377
Outskirts,House,3739,5,3,20,average,5,52,21260
Outskirts,Penthouse,4298,6,4,21,good,2,57,21694
Near Park,Apartment,2755,1,1,34,good,9,93,10055
Commercial Area,Villa,3012,5,4,13,excellent,1,7,17133
Suburbs,Villa,4010,4,2,30,good,1,86,19715
Commercial Area,Villa,4063,5,2,5,poor,2,6,17461
Suburbs,Villa,5402,3,3,24,good,9,45,21066
Near Park,Apartment,846,3,3,23,average,1,99,11793
Outskirts,House,2415,5,1,18,poor,6,11,13985
Outskirts,House,880,1,3,14,average,7,27,6761
City Center,Studio,5744,5,1,35,average,5,25,22056
Commercial Area,House,1467,3,2,21,average,5,88,11578
Suburbs,House,1802,6,2,1,excellent,2,19,13427
City Center,House,725,4,1,16,good,0,35,8069
Commercial Area,House,4880,3,4,38,average,6,89,21949
Suburbs,House,4697,1,3,35,poor,8,57,19669
Near Park,Apartment,4693,4,3,28,average,7,94,23570
Commercial Area,Penthouse,4412,3,3,19,good,8,2,12821
Suburbs,Penthouse,815,2,1,38,poor,1,9,3995
Outskirts,Studio,4261,5,4,39,excellent,6,3,16661
Commercial Area,House,1868,4,1,34,good,2,1,8911
Suburbs,Villa,2502,5,2,34,good,1,72,15460
Outskirts,Penthouse,5831,3,4,12,average,0,30,24434
Outskirts,Villa,4726,4,3,30,poor,6,10,15027
City Center,Studio,1558,2,1,25,excellent,4,70,8829
Suburbs,Villa,3229,3,4,35,poor,0,33,16604
City Center,House,2580,3,1,22,poor,8,56,13498
City Center,House,2397,5,4,0,excellent,5,34,16522
Near Park,Apartment,3709,5,3,33,good,9,50,16335
City Center,House,2046,3,4,37,poor,9,11,12029
City Center,Penthouse,3703,1,3,34,excellent,3,37,16686
Near Park,House,5143,2,4,37,poor,1,95,16401
Near Park,House,3733,2,2,1,good,6,88,15846
Commercial Area,Villa,2056,6,1,37,good,6,9,14010
City Center,Studio,2142,2,2,4,excellent,6,95,14073
Outskirts,House,2961,2,4,9,poor,7,66,16738
Near Park,Penthouse,1345,2,3,10,poor,5,73,9845
Suburbs,Studio,1210,6,3,9,good,6,7,13967
Commercial Area,House,3934,3,4,13,good,1,79,17388
Commercial Area,Studio,3519,1,3,1,excellent,1,48,16437
City Center,Penthouse,3426,3,1,39,excellent,9,50,11814
Outskirts,Villa,550,3,2,0,good,6,60,8404
Near Park,Villa,2174,3,4,36,good,5,76,12343
Suburbs,Apartment,2000,6,4,5,good,6,86,18070
City Center,Penthouse,1224,1,2,19,average,3,8,5640
Outskirts,House,2814,6,2,3,excellent,0,50,14860
City Center,House,1534,1,3,38,good,0,94,9984
City Center,Apartment,5064,1,3,2,average,7,66,19753
Commercial Area,Penthouse,4791,6,2,10,average,3,47,18172
Suburbs,Studio,901,1,1,8,good,2,4,4178
Suburbs,Studio,472,4,2,0,good,1,32,8668
Suburbs,Villa,533,3,1,7,average,8,11,6677
Suburbs,Studio,2526,1,2,5,average,7,76,13458
Near Park,Studio,2821,2,4,1,poor,0,56,14199
Near Park,Penthouse,2174,5,2,35,good,0,78,14671
Suburbs,Penthouse,3822,6,2,30,good,6,6,19048
Outskirts,Apartment,3300,4,2,38,good,6,5,16588
Near Park,Penthouse,3792,5,2,7,poor,1,27,14460
