location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,crime_index,market_volatility,economic_stability,demand_score,risk_score
Suburbs,Studio,average,1444,2,4,0,9,81.25,0.98,1.03,99,42.61
Near Park,Penthouse,good,4289,2,1,37,0,76.16,1.07,1.11,41,63.45
Suburbs,Penthouse,excellent,3235,1,3,21,9,87.84,0.57,0.52,70,46.44
Commercial Area,Apartment,excellent,3555,6,3,0,2,84.52,1.46,0.72,25,61.99
City Center,House,average,4198,3,2,32,4,82.0,1.57,1.45,6,63.24
Commercial Area,House,poor,1154,5,2,22,2,13.88,0.58,0.96,33,18.42
Commercial Area,Studio,good,2178,3,4,18,9,18.79,1.86,0.99,42,45.52
Suburbs,House,poor,1606,2,3,4,9,71.49,1.63,0.95,28,43.21
City Center,Apartment,good,1862,6,1,38,4,18.48,1.41,0.83,97,42.04
Suburbs,Studio,poor,2120,6,1,1,4,80.44,1.84,1.01,2,77.65
Outskirts,Apartment,average,1775,3,2,9,3,3.81,0.8,0.61,34,31.02
Suburbs,Apartment,good,1247,6,2,25,4,87.65,1.81,0.92,34,74.78
Suburbs,Penthouse,average,3642,5,3,38,6,22.85,0.98,1.4,40,23.09
Suburbs,Penthouse,poor,434,5,1,32,9,52.6,0.54,1.49,70,20.94
City Center,Penthouse,poor,3455,6,1,36,7,84.43,1.51,0.88,21,64.34
Suburbs,Villa,good,1323,5,3,28,4,58.43,1.11,0.7,41,46.63
City Center,Apartment,excellent,5787,2,1,9,4,99.88,1.12,1.38,88,61.26
Near Park,House,poor,5827,1,2,12,9,53.23,1.09,1.04,54,35.23
Outskirts,Studio,good,4717,3,2,35,2,30.34,1.44,0.85,50,59.88
City Center,Villa,poor,4756,5,1,21,7,90.35,0.61,1.48,64,40.14
Near Park,Penthouse,poor,4388,2,2,3,2,64.75,1.6,1.44,12,52.61
City Center,Villa,good,4906,4,2,6,8,97.32,1.75,0.51,60,77.68
City Center,Villa,excellent,4080,1,3,12,3,77.59,1.52,1.25,91,56.07
Outskirts,Apartment,excellent,2847,3,1,25,5,14.6,1.21,0.64,33,35.44
Commercial Area,Apartment,average,3236,5,4,37,6,57.37,1.04,1.2,51,43.61
Commercial Area,House,good,4338,5,2,14,1,13.88,1.12,1.5,70,23.18
City Center,Studio,good,5846,6,1,33,7,42.1,1.97,1.21,91,48.53
Suburbs,Studio,average,1331,4,4,6,8,71.82,1.97,1.45,18,39.21
Near Park,Penthouse,poor,4958,1,4,39,6,75.85,1.59,1.45,90,45.57
Suburbs,House,excellent,2175,6,3,27,4,82.65,1.65,1.3,29,51.87
Suburbs,Studio,poor,3749,1,2,15,2,43.26,1.8,1.22,43,56.77
City Center,Villa,good,3964,5,3,22,8,72.19,0.68,0.84,20,45.6
City Center,Villa,poor,3069,3,4,7,2,30.86,0.93,1.26,26,26.07
City Center,Studio,poor,764,4,1,10,7,50.45,1.31,1.5,78,29.51
City Center,Villa,poor,5111,3,2,17,8,60.41,0.54,0.72,84,31.66
Commercial Area,Villa,average,1226,5,4,15,3,68.24,0.95,1.09,50,38.86
City Center,Penthouse,average,2701,2,4,6,3,99.25,1.09,1.08,66,67.84
Commercial Area,Villa,good,4651,3,4,33,7,63.97,2.0,0.6,15,68.04
Commercial Area,Studio,average,3691,1,2,22,6,33.0,1.22,0.75,92,34.44
City Center,Apartment,average,3827,4,4,14,6,47.62,1.84,1.3,13,53.37
Outskirts,Villa,average,3478,6,3,2,0,33.73,0.55,1.34,72,23.68
Near Park,Studio,poor,3515,2,1,8,0,27.7,0.79,1.13,62,39.96
Suburbs,Villa,poor,891,3,1,16,8,10.76,0.75,0.84,47,6.9
Commercial Area,House,average,712,1,1,10,5,14.87,1.34,0.73,13,30.25
Near Park,Penthouse,good,5119,1,3,28,2,22.31,1.84,1.44,65,47.28
Outskirts,Apartment,excellent,3643,2,1,38,7,89.97,1.8,1.36,86,76.26
Suburbs,Villa,poor,3765,4,2,17,0,94.5,1.3,1.06,13,76.68
Suburbs,Studio,average,4648,1,4,26,1,4.07,1.63,1.2,57,30.38
Commercial Area,Apartment,excellent,4300,1,2,30,6,32.4,1.91,1.26,16,45.0
City Center,Villa,poor,5151,3,1,32,0,64.11,0.58,1.28,33,37.96
Outskirts,House,average,3326,2,3,22,0,52.65,1.71,1.06,5,51.31
Commercial Area,Studio,excellent,3252,4,2,20,5,51.81,1.19,0.59,59,49.63
Outskirts,Penthouse,good,5324,3,1,16,4,77.6,1.6,1.29,97,64.1
City Center,Villa,poor,2308,3,3,37,5,41.8,0.69,1.39,69,21.32
City Center,Studio,poor,3100,2,3,25,0,17.41,1.36,1.33,72,38.34
Commercial Area,Villa,good,5423,5,3,17,4,69.66,1.15,1.06,43,47.33
City Center,Penthouse,poor,3858,1,3,12,1,9.92,1.66,0.95,79,38.8
Near Park,House,poor,2610,2,2,33,4,53.55,0.99,0.54,26,48.44
Suburbs,Penthouse,poor,4374,6,2,4,4,5.61,1.46,1.2,37,25.24
Commercial Area,Penthouse,good,4402,5,1,27,9,15.85,1.42,1.04,63,20.64
Outskirts,Penthouse,good,5494,1,2,22,5,42.58,1.64,1.47,91,38.57
Near Park,Apartment,excellent,5925,1,3,8,2,33.68,0.95,1.02,22,32.55
Commercial Area,Studio,average,5334,1,2,5,7,11.82,0.71,1.44,26,14.86
City Center,Villa,good,1411,2,2,13,7,1.48,1.43,0.76,75,29.61
City Center,House,poor,4776,6,2,21,6,55.37,0.75,0.52,3,44.36
City Center,Villa,average,1649,2,1,28,7,24.77,1.17,0.9,49,30.12
City Center,Apartment,excellent,4125,4,4,27,1,38.64,0.56,0.69,52,31.65
Outskirts,House,good,3935,4,1,39,2,67.56,1.74,1.06,20,67.96
Near Park,Apartment,poor,5123,4,1,22,8,76.47,1.24,1.06,34,42.0
Suburbs,Villa,poor,4449,3,1,12,4,52.15,1.41,1.15,84,43.92
Outskirts,House,poor,5715,2,4,36,3,96.52,0.73,0.71,15,62.55
Outskirts,Villa,poor,4922,5,4,27,9,52.58,0.96,1.01,52,38.77
Suburbs,Studio,poor,808,5,2,9,6,65.1,0.9,1.28,25,27.24
Suburbs,Apartment,good,3362,4,2,26,3,3.55,0.63,1.07,44,8.01
City Center,Studio,poor,4229,5,3,21,4,11.59,0.82,0.75,95,25.98
Outskirts,Studio,good,1381,5,1,38,7,80.58,1.73,0.66,88,69.9
Commercial Area,Villa,excellent,4579,5,3,6,0,45.38,1.87,0.95,3,62.48
Suburbs,Villa,average,1254,5,3,28,6,94.82,0.92,0.69,24,66.11
Suburbs,Penthouse,good,4802,1,1,36,2,21.18,0.84,0.79,70,37.85
Near Park,Penthouse,good,5730,3,3,19,3,50.02,1.86,0.92,32,57.53
Commercial Area,House,average,1823,5,4,38,8,99.8,0.65,0.9,74,50.48
Commercial Area,Villa,average,4420,5,1,11,9,57.6,1.4,1.18,48,43.14
Suburbs,Apartment,poor,4385,5,3,27,5,26.88,1.75,0.96,34,54.61
City Center,Villa,good,4215,2,1,4,6,33.43,1.79,0.71,48,49.17
Near Park,Villa,good,4693,3,3,3,6,80.75,1.32,0.95,45,54.43
Commercial Area,Studio,excellent,2987,2,3,9,6,18.86,0.74,1.37,86,12.37
Suburbs,Studio,good,3540,6,2,1,7,80.59,1.53,0.56,59,62.51
Commercial Area,Penthouse,excellent,3897,6,1,12,4,10.9,1.02,0.6,51,42.76
Near Park,House,excellent,1257,5,3,12,3,6.67,0.55,0.93,68,14.14
Near Park,House,average,1926,5,3,2,0,54.38,0.6,1.2,13,42.21
Outskirts,Villa,poor,3508,5,2,32,0,85.03,0.99,0.69,57,68.06
Suburbs,Apartment,poor,3991,6,4,31,3,81.02,0.64,0.59,63,58.5
Near Park,Studio,poor,5016,4,2,4,7,54.93,1.96,1.08,54,58.24
Outskirts,Apartment,poor,3078,2,1,22,8,69.2,1.11,1.24,46,37.51
Outskirts,Studio,poor,666,5,2,8,8,94.62,0.66,0.63,88,54.83
Commercial Area,Villa,excellent,1263,5,4,0,1,2.82,1.95,0.7,3,42.88
Commercial Area,House,excellent,3730,5,4,32,7,34.03,1.28,1.42,24,30.95
Outskirts,Villa,good,5519,5,2,22,8,79.45,1.99,0.59,51,80.89
Commercial Area,Studio,good,3685,3,2,27,5,12.57,0.59,0.72,77,18.12
Near Park,House,excellent,4889,2,4,32,5,22.66,1.7,1.33,38,39.87
City Center,Apartment,excellent,2275,1,1,29,6,10.2,0.87,1.08,14,25.64
Near Park,Apartment,excellent,1857,5,3,38,7,98.33,0.52,1.19,58,50.42
Outskirts,Penthouse,poor,3888,6,2,3,2,36.39,1.8,1.46,87,42.88
Outskirts,Apartment,excellent,409,3,3,28,6,12.2,1.4,0.84,98,23.27
Near Park,Penthouse,poor,3016,2,2,19,9,76.11,1.81,1.35,8,60.58
Commercial Area,House,excellent,2571,4,2,24,0,37.8,1.74,1.35,4,57.75
Commercial Area,Villa,excellent,3989,6,2,38,9,70.15,1.46,0.85,16,51.95
Outskirts,Villa,excellent,3048,6,3,1,0,10.66,1.46,0.61,21,40.1
Suburbs,House,poor,2107,4,4,9,5,68.53,0.99,0.9,36,41.43
Commercial Area,House,excellent,935,5,1,3,7,43.08,1.12,1.4,76,31.42
Near Park,Studio,poor,3574,2,2,26,9,37.38,1.46,1.2,76,28.45
Commercial Area,Apartment,average,1799,4,2,31,6,8.85,1.01,0.54,41,27.35
Near Park,Apartment,good,1160,6,4,29,2,57.87,1.24,0.84,30,67.84
Outskirts,Apartment,average,2578,6,4,20,9,58.17,1.64,1.06,24,34.04
Commercial Area,Penthouse,good,3476,5,3,31,7,31.63,1.77,1.11,1,35.63
Near Park,Apartment,average,5328,6,4,23,9,9.34,1.69,0.71,29,26.3
Outskirts,Studio,good,2427,1,1,25,1,81.62,0.53,1.32,37,38.78
Suburbs,Villa,poor,2448,5,4,10,1,97.21,1.96,1.21,20,66.66
Near Park,Villa,excellent,4685,5,1,37,4,19.96,1.35,1.11,33,40.74
Suburbs,Penthouse,excellent,4828,6,2,6,3,38.25,1.96,1.12,47,47.93
Suburbs,Studio,good,1436,4,1,0,4,31.97,1.0,0.51,44,28.6
City Center,House,average,2504,4,3,36,6,94.71,0.95,1.0,87,55.23
Commercial Area,Villa,poor,5762,6,4,38,6,96.22,1.6,1.26,79,63.61
Near Park,Studio,excellent,4576,1,2,30,6,58.08,1.92,1.24,71,65.98
Suburbs,House,good,5527,1,3,16,5,32.22,0.7,1.32,32,19.07
City Center,Penthouse,poor,4117,1,3,3,5,44.07,1.98,1.24,66,44.88
Outskirts,Apartment,excellent,5593,2,2,10,5,99.64,0.82,0.87,13,54.91
Near Park,Studio,excellent,3736,6,4,24,9,43.65,0.79,0.57,10,37.61
Suburbs,Villa,poor,5122,4,1,37,1,18.14,1.61,0.63,17,56.85
Commercial Area,Penthouse,excellent,4565,3,4,21,6,22.38,1.85,0.83,16,46.33
City Center,Studio,good,2895,4,3,33,4,62.76,1.38,0.87,18,57.0
Suburbs,Penthouse,poor,2680,3,3,10,5,61.08,0.94,0.7,38,42.44
Commercial Area,House,poor,2334,5,4,14,6,70.58,1.38,1.2,98,47.74
Suburbs,Studio,excellent,1260,6,3,38,7,45.97,0.89,1.03,10,30.25
Near Park,Apartment,good,4844,1,3,25,4,91.24,0.66,1.2,85,51.66
Near Park,House,excellent,1011,5,2,8,0,35.83,1.7,1.03,57,56.1
Near Park,Apartment,excellent,3110,5,3,8,0,34.77,1.43,1.39,18,47.5
City Center,Penthouse,average,1290,5,3,12,4,51.28,0.96,0.59,84,44.97
Near Park,Apartment,average,683,5,3,2,6,38.99,0.66,0.51,19,32.31
Commercial Area,House,good,4063,5,3,23,4,38.61,1.31,0.66,15,58.67
Suburbs,House,average,5017,1,4,34,6,15.64,1.95,0.97,34,44.41
Outskirts,House,poor,2363,6,3,13,3,7.93,1.94,1.25,86,41.16
Commercial Area,Penthouse,poor,3550,4,3,34,0,18.65,1.85,0.83,89,55.98
Commercial Area,Villa,good,2848,3,4,34,4,48.99,1.27,1.32,69,45.51
Near Park,Penthouse,poor,4894,5,4,20,5,73.23,1.19,0.65,73,57.9
City Center,House,excellent,2395,4,1,23,9,56.82,0.52,1.11,5,20.51
Suburbs,Penthouse,excellent,4731,1,4,34,6,4.27,1.31,0.97,4,32.94
City Center,Studio,average,3113,5,2,10,4,63.3,0.99,1.27,45,37.36
Suburbs,Studio,poor,3155,4,4,22,2,40.97,1.42,0.92,91,56.98
Suburbs,Villa,poor,780,4,2,11,7,98.93,1.79,0.88,90,69.56
City Center,Penthouse,average,4776,2,1,5,1,76.2,1.08,0.89,11,54.64
Commercial Area,Penthouse,good,5272,2,1,19,6,33.97,1.39,1.46,30,29.16
Suburbs,Studio,good,847,6,3,37,5,46.74,0.63,0.64,35,44.0
City Center,House,average,2184,3,3,18,7,73.14,0.66,1.09,87,32.08
Suburbs,Apartment,average,1889,3,1,26,7,48.07,0.66,1.44,71,16.39
Outskirts,House,average,4883,1,4,29,9,52.62,1.68,1.4,65,45.37
Commercial Area,Villa,poor,3399,5,1,27,7,30.55,0.98,1.38,47,13.97
Near Park,Apartment,good,1063,1,1,33,1,18.37,1.48,1.01,93,48.95
Suburbs,House,excellent,3528,5,2,38,3,62.76,1.55,0.53,50,76.55
Outskirts,Penthouse,average,5093,1,2,15,1,19.27,1.98,0.73,20,51.28
Near Park,Penthouse,excellent,3855,4,1,29,8,97.46,1.82,1.41,30,57.66
Near Park,Studio,excellent,688,2,1,24,9,4.87,2.0,0.71,3,40.82
Suburbs,Penthouse,average,4408,4,3,17,4,80.45,1.43,0.5,37,60.28
City Center,Penthouse,excellent,4721,6,3,27,7,35.57,1.19,0.81,18,31.92
Suburbs,Villa,excellent,1820,1,1,8,4,54.2,1.69,0.66,1,53.77
Outskirts,Apartment,good,1254,4,4,18,8,51.4,0.87,0.62,21,44.51
Near Park,House,average,3870,4,4,11,1,21.23,0.69,1.28,64,25.23
Suburbs,House,good,5414,6,3,16,2,98.71,1.96,1.13,30,90.0
City Center,Villa,excellent,3452,4,4,8,1,79.76,0.73,1.33,65,42.74
Suburbs,Apartment,excellent,4909,6,1,33,0,38.96,0.98,1.45,51,39.08
Commercial Area,Penthouse,poor,2189,2,1,10,9,50.92,1.06,0.9,4,40.47
City Center,Villa,poor,1102,3,3,38,6,46.38,1.32,0.52,11,42.74
Outskirts,Penthouse,excellent,1244,3,3,39,8,84.89,1.63,0.57,21,66.49
Near Park,House,average,3474,6,3,25,6,4.4,1.07,0.74,49,22.44
Suburbs,Villa,excellent,1949,3,3,4,7,96.01,1.56,1.27,65,63.96
City Center,Villa,good,1214,6,4,19,3,89.61,1.36,1.14,18,69.08
Commercial Area,Villa,average,1074,2,2,4,5,20.01,1.76,1.0,30,33.2
City Center,House,good,5833,5,3,1,5,52.06,0.53,0.72,1,35.02
Commercial Area,House,poor,4201,5,1,33,4,65.3,1.18,1.21,4,56.96
Outskirts,Studio,average,3650,1,2,29,5,26.79,0.67,1.26,72,16.47
Near Park,House,average,1777,6,4,10,9,69.31,0.6,1.02,50,39.16
Outskirts,House,good,1478,5,4,0,7,3.09,1.91,1.41,73,23.69
Suburbs,Penthouse,average,2744,4,2,23,8,26.64,1.63,0.97,93,27.8
City Center,House,good,2379,5,3,29,1,8.2,0.91,0.89,21,22.74
Commercial Area,Apartment,good,986,3,3,1,6,87.38,0.63,1.49,72,39.04
Commercial Area,Penthouse,excellent,4657,6,2,38,3,40.29,1.93,1.03,64,57.95
City Center,Studio,excellent,1897,3,3,34,6,95.39,1.91,0.79,84,74.04
City Center,Apartment,excellent,5995,2,1,4,8,40.16,0.75,1.13,80,17.72
Suburbs,Studio,poor,1745,3,4,2,5,48.79,1.73,0.68,46,50.75
Outskirts,Villa,good,1458,2,2,38,0,12.82,1.87,1.23,31,45.24
Commercial Area,Villa,average,4679,3,2,24,9,95.2,1.38,0.55,47,68.48
Suburbs,Villa,poor,5702,3,4,29,8,55.44,1.08,0.84,57,51.44
Outskirts,House,poor,3659,4,1,7,7,10.65,1.7,1.41,14,29.4
Suburbs,House,excellent,3519,6,2,19,5,55.91,1.04,1.05,65,37.91
Commercial Area,Penthouse,average,3586,3,1,34,3,16.17,0.51,1.49,35,15.03
City Center,Apartment,average,2647,3,3,26,6,40.25,1.43,0.68,16,45.37
City Center,Apartment,poor,3088,1,1,1,9,43.41,1.75,1.4,87,27.35
Outskirts,Villa,good,5131,6,4,22,0,80.99,1.92,0.98,36,71.6
Near Park,Villa,poor,1957,2,4,15,1,85.79,1.57,1.28,50,70.16
Outskirts,House,average,798,3,4,9,7,8.31,1.32,1.41,70,20.84
Near Park,Studio,good,866,2,1,24,5,70.67,0.51,1.37,37,30.64
Suburbs,Apartment,good,3885,6,2,26,8,91.61,0.91,0.75,90,54.4
Suburbs,Apartment,good,3671,2,3,25,1,46.75,1.15,0.75,52,49.42
Commercial Area,Studio,good,2164,3,1,6,0,88.39,1.95,0.89,69,73.87
Near Park,Apartment,good,3302,3,3,19,1,21.24,0.69,0.56,99,30.35
Commercial Area,Apartment,good,3191,5,3,36,2,18.51,0.56,0.7,2,28.85
City Center,House,average,2238,4,1,16,5,43.77,0.82,1.0,40,30.71
Near Park,Apartment,excellent,3590,3,3,13,7,94.12,1.13,1.15,97,47.53
Outskirts,Villa,poor,4398,1,3,24,7,3.84,1.52,1.4,48,16.11
City Center,Villa,excellent,787,3,2,17,9,68.45,0.9,1.42,98,21.73
City Center,Penthouse,excellent,4010,4,1,18,1,44.76,1.14,0.61,49,56.52
Outskirts,House,poor,5393,6,1,7,4,0.17,0.98,0.77,2,18.09
City Center,House,average,1764,1,4,16,2,44.85,1.67,0.53,95,55.42
Near Park,Villa,average,2907,6,4,25,7,9.63,1.98,0.77,68,40.78
Commercial Area,House,good,2787,2,1,39,4,95.86,1.81,0.7,92,80.59
City Center,House,excellent,3390,1,4,33,9,90.62,0.97,1.43,85,37.13
Near Park,Penthouse,average,4067,2,1,5,0,17.65,0.55,1.17,54,22.49
Suburbs,Studio,poor,1132,1,3,23,5,71.08,1.5,1.25,67,57.99
Near Park,Apartment,good,3554,2,4,4,8,60.03,1.91,0.92,4,49.52
Commercial Area,Penthouse,excellent,906,2,2,2,9,34.4,0.63,1.38,27,3.61
Near Park,Studio,good,3193,2,2,5,5,72.34,0.96,1.45,16,28.95
Outskirts,Apartment,excellent,1612,2,2,2,4,93.88,1.97,0.99,53,75.53
Commercial Area,Villa,poor,968,3,1,39,5,5.42,0.55,1.03,56,18.1
Suburbs,Studio,excellent,1014,6,3,34,5,65.25,1.71,0.91,92,63.21
Outskirts,Apartment,poor,4368,5,1,11,3,64.54,0.9,1.37,99,39.35
Near Park,Penthouse,excellent,5355,5,2,22,5,68.12,1.38,1.39,2,39.97
Commercial Area,Apartment,average,793,6,4,7,4,39.47,1.53,1.25,33,36.18
Suburbs,House,good,1195,5,4,5,1,65.0,1.4,1.24,65,49.34
Outskirts,Apartment,poor,3185,5,3,18,7,5.2,1.5,0.81,85,28.96
Suburbs,Villa,good,1940,1,3,27,3,6.13,0.58,0.66,32,24.2
Near Park,Penthouse,poor,3006,3,4,16,0,59.72,1.15,0.66,49,61.83
Suburbs,Studio,average,4409,4,1,5,3,78.97,1.1,0.65,73,59.58
City Center,Apartment,excellent,1884,6,3,15,1,22.34,1.61,1.3,4,34.92
Outskirts,Penthouse,excellent,1085,2,4,28,0,55.82,1.94,0.64,9,72.34
Suburbs,Villa,excellent,4453,4,1,25,1,1.22,0.68,0.55,30,28.17
Near Park,Studio,good,5421,5,4,30,6,3.64,0.75,0.79,47,21.2
Near Park,Apartment,good,3857,3,1,18,7,17.51,0.73,1.48,20,11.37
Suburbs,Villa,good,3757,3,1,31,8,70.35,1.99,1.08,99,56.39
Near Park,House,poor,1885,6,3,9,9,30.0,1.78,1.1,33,33.98
Commercial Area,Penthouse,excellent,3112,2,4,17,1,91.05,1.36,0.57,91,80.85
Commercial Area,Penthouse,excellent,3502,3,3,21,0,71.58,1.26,0.94,70,58.53
Commercial Area,Apartment,excellent,3197,2,4,16,0,46.44,1.17,0.6,86,46.41
City Center,Villa,good,4928,6,4,23,1,37.89,0.78,1.27,52,31.19
Suburbs,Studio,poor,841,4,1,37,7,62.16,0.58,0.86,9,37.62
City Center,Studio,poor,4610,6,2,5,1,12.33,0.84,1.19,13,24.6
Near Park,Studio,excellent,740,2,1,9,6,60.23,1.32,0.69,48,39.92
City Center,Studio,excellent,1323,6,4,12,2,10.3,0.84,1.11,58,29.02
Near Park,Apartment,average,3374,5,3,31,0,19.29,1.39,0.99,34,46.16
Near Park,Apartment,good,1471,6,4,23,6,15.37,1.97,0.57,13,51.13
Outskirts,Penthouse,poor,4311,4,2,23,1,23.92,0.9,1.11,35,31.83
Commercial Area,Villa,good,834,6,1,11,4,88.97,1.7,0.78,90,76.38
Near Park,House,good,1501,5,2,7,1,11.41,0.93,0.79,92,34.87
Outskirts,Apartment,good,924,4,3,12,2,35.16,0.78,0.76,22,32.64
Commercial Area,Studio,average,3084,4,1,34,9,19.35,1.1,0.91,47,20.44
Near Park,House,poor,1552,6,1,35,0,23.47,1.25,1.45,13,35.25
Near Park,Penthouse,average,2306,2,3,38,8,60.78,1.29,1.3,80,49.38
City Center,Studio,poor,4898,6,4,23,1,73.5,0.53,0.58,34,55.0
City Center,Villa,average,1072,4,4,10,5,84.82,1.27,1.37,89,55.33
Commercial Area,House,average,1053,1,1,22,4,40.89,1.36,0.77,82,46.73
Near Park,Penthouse,poor,5506,6,4,35,3,35.0,1.87,1.38,38,49.25
Suburbs,Apartment,excellent,3675,4,2,13,3,48.87,0.6,1.35,89,13.65
City Center,Villa,excellent,419,3,3,16,9,85.35,1.48,0.69,70,55.07
Commercial Area,Studio,average,4646,6,4,28,3,68.57,1.18,1.09,49,57.62
Near Park,House,excellent,5623,2,4,38,6,30.03,1.93,0.68,29,50.35
Near Park,Penthouse,good,764,6,2,11,4,42.86,0.78,1.19,29,29.26
Suburbs,House,excellent,5112,5,3,38,4,18.35,0.97,1.0,56,27.5
Commercial Area,Villa,excellent,5755,5,4,16,1,91.51,1.94,1.16,12,79.58
Near Park,Apartment,poor,4547,4,4,13,8,65.89,0.52,1.3,47,15.07
City Center,Apartment,poor,4381,2,3,26,1,9.0,1.69,1.16,69,48.15
Suburbs,Villa,excellent,487,3,3,16,2,95.59,1.51,1.02,63,78.33
Commercial Area,Studio,excellent,1494,1,1,29,1,27.29,1.38,1.48,42,40.72
Suburbs,House,poor,2603,5,4,3,4,46.56,1.32,1.47,79,42.11
City Center,Studio,average,5634,6,2,19,4,80.37,1.54,1.41,46,53.12
Commercial Area,Penthouse,poor,4791,3,2,23,5,21.29,1.68,1.49,73,41.33
Suburbs,Studio,excellent,4126,3,3,14,2,64.46,0.5,1.15,94,42.17
Outskirts,Villa,excellent,3376,1,1,1,2,76.35,0.56,1.2,66,35.78
City Center,Apartment,good,3466,2,1,10,0,87.01,0.94,0.67,37,61.59
City Center,Villa,poor,3762,1,4,22,2,19.77,0.86,1.49,94,22.42
City Center,Villa,average,2166,1,1,9,5,19.95,0.81,1.37,47,11.55
Outskirts,House,good,4268,1,4,35,1,95.94,0.93,0.56,23,72.58
Outskirts,Villa,excellent,5235,6,2,16,2,48.53,0.97,1.4,10,31.93
Near Park,Penthouse,excellent,380,6,4,2,5,40.35,0.83,1.25,97,31.37
Suburbs,House,good,5215,1,3,24,4,18.4,0.96,0.92,79,38.09
Near Park,House,good,2368,5,1,6,1,77.93,1.17,0.97,64,63.16
Suburbs,Studio,poor,426,5,3,34,2,56.72,1.48,0.92,74,51.91
Outskirts,Villa,excellent,2247,2,3,22,9,64.67,1.85,0.89,6,45.83
Outskirts,Studio,good,1296,2,3,15,8,88.34,1.93,0.65,27,75.98
Near Park,Studio,poor,1162,5,4,13,9,3.64,1.02,0.69,24,20.71
Commercial Area,House,excellent,2817,5,2,29,1,50.22,0.63,1.17,93,36.28
Near Park,Studio,excellent,1120,5,1,10,3,77.44,1.55,1.48,49,57.25
Suburbs,Studio,poor,2907,6,4,21,4,51.39,1.23,0.66,93,52.66
Near Park,House,poor,4650,2,3,30,0,62.13,1.96,0.99,61,68.58
City Center,House,average,344,4,2,21,2,96.93,1.69,1.33,94,75.94
Suburbs,Apartment,good,2444,3,2,38,4,13.51,0.88,1.31,12,24.15
Suburbs,Villa,average,3087,5,3,23,6,40.89,1.67,1.47,10,42.1
Commercial Area,Apartment,excellent,5315,3,3,15,7,42.45,0.68,1.49,56,27.67
Outskirts,House,average,4835,4,1,22,2,26.21,1.79,0.69,17,56.77
Suburbs,Penthouse,poor,4772,2,1,27,5,19.46,1.33,0.77,64,39.93
Outskirts,Studio,poor,1003,1,2,15,3,47.26,0.78,0.93,27,29.28
Near Park,Studio,average,5423,2,1,15,5,27.1,1.59,0.89,82,38.3
City Center,House,excellent,2292,3,3,33,7,71.71,0.68,1.15,86,43.27
Commercial Area,Studio,excellent,506,2,3,2,6,43.54,0.57,0.59,69,30.29
Outskirts,Apartment,average,716,5,3,22,5,84.08,1.18,0.79,46,59.18
Suburbs,Studio,average,745,4,2,35,3,53.85,1.18,1.14,4,47.79
Outskirts,Penthouse,good,773,2,1,16,7,79.36,1.19,0.95,40,51.92
Suburbs,Villa,average,3758,5,1,31,7,99.58,1.78,0.51,5,70.47
Outskirts,Apartment,good,5131,4,1,1,4,49.99,1.11,1.21,89,28.35
Suburbs,Villa,poor,2965,5,4,24,0,86.81,1.8,1.3,85,81.29
Near Park,Villa,poor,1088,6,1,6,8,61.74,0.95,1.39,23,23.65
Suburbs,Penthouse,average,2757,5,4,10,1,74.82,1.44,0.81,86,68.42
Suburbs,Penthouse,poor,454,4,2,36,8,86.2,1.2,1.29,82,55.59
City Center,Penthouse,good,2319,3,1,7,2,80.69,1.12,1.43,81,56.76
Suburbs,Penthouse,average,3930,4,2,20,3,16.0,0.99,0.64,84,33.4
City Center,Apartment,excellent,3584,1,3,27,5,52.11,1.18,0.82,39,48.86
Commercial Area,Penthouse,poor,4736,1,3,0,1,66.02,0.93,0.88,91,46.61
City Center,Apartment,excellent,1892,3,2,11,4,7.2,1.33,1.07,58,32.1
Near Park,Studio,average,4411,4,3,35,2,74.81,1.43,1.5,39,54.02
City Center,Villa,poor,5200,2,3,12,4,82.82,1.15,0.63,7,62.11
Commercial Area,Studio,average,2740,4,3,25,7,0.52,1.08,0.61,77,17.26
Near Park,Studio,average,1480,5,2,19,2,92.88,0.91,1.29,27,50.94
Outskirts,House,excellent,2239,3,1,38,8,41.89,1.74,1.27,44,42.03
Outskirts,Studio,average,3251,5,3,0,2,73.48,1.92,0.66,97,78.04
City Center,Studio,excellent,730,6,2,30,4,19.41,0.84,1.05,57,18.5
City Center,House,poor,3601,4,4,13,7,77.13,1.99,1.4,26,65.66
Commercial Area,Studio,average,1109,6,1,28,5,64.08,1.77,0.55,94,72.68
Commercial Area,House,average,1842,5,1,25,9,47.35,1.36,0.5,12,49.24
Suburbs,Apartment,poor,5991,4,3,9,5,79.52,1.4,0.82,78,54.78
Commercial Area,Villa,poor,4284,1,3,33,7,47.31,1.75,1.32,16,54.4
Suburbs,Penthouse,average,1525,2,1,30,4,87.86,1.05,0.86,23,60.83
Near Park,Studio,poor,2153,4,3,15,5,81.96,0.66,1.1,95,51.57
City Center,Apartment,poor,4638,5,2,33,7,96.55,0.54,1.39,40,53.56
Near Park,Villa,poor,5795,3,3,33,3,31.21,0.95,0.93,94,37.37
Commercial Area,Apartment,excellent,3458,2,3,34,1,53.58,1.88,1.01,3,66.37
Near Park,House,good,5719,1,2,12,2,24.13,1.84,1.38,51,43.4
Near Park,Apartment,average,5280,4,2,31,2,38.02,1.4,1.47,44,46.64
Near Park,Studio,excellent,2835,4,3,1,3,59.91,0.56,0.55,86,38.5
