location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,demand_score,price
aziz bhatti town,flat,old,2513,1,1,10,1.76,0.9,53929331
wapda town,plot,used,3176,5,2,3,3.7,1.1,59730358
aziz bhatti town,plot,used,3101,4,4,27,4.38,0.83,74313164
aziz bhatti town,house,used,4427,2,1,27,1.82,0.68,73483971
satellite town,flat,used,2651,1,2,8,4.15,1.16,51418597
model town,plot,old,1302,1,4,1,2.47,0.61,12254281
aziz bhatti town,plot,new,2392,1,2,30,1.76,0.69,45057142
model town,house,used,3912,4,3,27,3.62,0.97,60343381
university road,house,old,3103,2,4,9,3.59,0.92,60895460
model town,flat,used,2610,1,1,8,4.94,0.43,18492698
wapda town,flat,old,845,6,3,6,2.0,0.43,5558461
wapda town,flat,new,4552,4,2,25,4.18,0.84,62521209
aziz bhatti town,house,old,2528,6,5,19,1.74,0.68,47247087
model town,house,used,1194,2,4,4,2.58,0.99,20318632
aziz bhatti town,house,new,3838,2,4,13,2.74,0.74,91480047
satellite town,house,old,5659,4,3,24,3.48,0.6,50049992
wapda town,flat,old,4500,2,5,15,1.26,0.93,57850389
aziz bhatti town,flat,old,2367,2,1,4,3.72,0.99,60905133
satellite town,flat,new,3295,4,3,31,4.77,1.07,66637673
aziz bhatti town,house,old,5180,6,4,10,1.18,0.8,118737869
model town,house,old,1237,6,3,9,3.18,0.9,18772738
model town,house,new,5463,5,5,16,3.06,0.8,85162177
model town,house,old,3084,1,4,15,1.58,0.48,21490538
model town,plot,used,1257,6,4,10,3.33,1.12,27241846
university road,flat,new,4437,5,2,17,2.96,0.6,66471273
satellite town,flat,old,3636,3,4,11,4.27,0.75,43620648
satellite town,plot,old,643,6,4,25,4.58,0.54,5918309
model town,flat,new,3846,3,3,8,3.66,0.94,66718227
university road,house,old,2709,3,5,32,4.33,0.96,53393091
model town,flat,old,781,2,5,6,1.61,0.7,8167372
university road,house,new,4704,1,5,21,3.04,0.88,102613462
model town,house,new,2082,5,5,29,1.72,0.44,17282138
wapda town,house,new,5814,5,5,16,1.4,0.83,84299997
wapda town,plot,old,2623,4,3,18,1.41,0.58,19268150
aziz bhatti town,flat,old,4224,6,1,15,2.96,0.84,100159553
model town,house,used,4193,2,4,24,4.03,0.67,44207501
satellite town,flat,old,1821,2,1,31,4.57,0.68,17310454
aziz bhatti town,plot,old,1724,3,2,21,1.52,0.86,32333211
wapda town,flat,new,1451,2,2,19,3.29,0.47,10401041
model town,flat,new,890,4,1,34,3.02,0.85,12897080
aziz bhatti town,flat,old,5950,4,5,7,2.76,0.98,163032877
model town,flat,old,3490,4,2,28,3.21,0.63,30257443
wapda town,plot,new,4185,1,3,5,2.5,1.0,72928988
aziz bhatti town,flat,new,5626,2,2,5,2.89,0.71,126687321
wapda town,house,used,789,1,2,5,1.89,0.6,7046066
university road,plot,new,5700,5,5,32,4.54,0.51,82095205
wapda town,flat,used,4313,5,2,14,1.82,0.6,40669088
model town,flat,old,4969,1,3,10,3.87,0.5,37025717
satellite town,house,used,4341,1,5,11,3.37,0.65,50496329
wapda town,plot,used,1876,4,2,19,4.23,0.56,15355051
satellite town,plot,new,1388,4,2,7,4.52,0.83,22847331
university road,house,new,5199,3,4,32,4.84,0.45,58813076
aziz bhatti town,flat,new,4068,6,3,9,1.2,0.59,83200407
aziz bhatti town,flat,new,1689,1,2,10,2.08,0.5,25255819
satellite town,plot,new,2893,5,1,27,3.76,0.76,41292384
aziz bhatti town,plot,old,2932,1,2,11,4.56,0.47,35116042
wapda town,flat,old,2349,3,2,10,2.01,1.0,30344734
satellite town,house,old,1169,3,1,17,4.52,0.54,8814530
model town,house,new,4678,6,4,24,3.76,0.76,71606480
wapda town,flat,used,3924,2,2,33,2.28,1.03,53723188
wapda town,house,used,1112,2,4,7,1.76,1.07,17992712
wapda town,plot,used,700,1,2,21,4.3,0.67,6539079
model town,flat,used,1347,2,4,33,4.3,0.84,17916770
university road,house,new,1056,2,3,28,2.61,0.48,11751823
aziz bhatti town,house,used,1955,3,1,20,3.3,0.4,19781002
satellite town,plot,used,1341,5,5,0,2.19,0.93,24821484
university road,plot,new,3455,4,4,22,4.45,0.67,60558199
satellite town,flat,used,1105,3,1,5,4.44,0.49,9478796
aziz bhatti town,plot,old,2057,2,1,25,1.49,0.67,30033127
model town,plot,used,2255,6,1,29,2.25,1.08,39857604
wapda town,flat,old,3930,5,1,23,4.59,0.56,30581480
wapda town,house,old,1017,3,4,31,1.93,1.15,14704991
model town,plot,new,2162,3,3,14,2.92,1.04,40775267
university road,flat,old,3868,1,3,16,3.39,0.95,69742956
university road,plot,used,1393,1,4,10,4.92,0.7,23832887
satellite town,plot,new,1281,5,1,25,1.11,1.19,26854618
model town,house,old,2069,6,4,1,4.66,1.17,45221077
university road,plot,old,2002,4,3,25,2.16,0.42,16270649
model town,plot,old,971,5,4,20,1.51,0.97,13813806
aziz bhatti town,plot,old,5159,2,4,20,3.41,0.71,88622032
wapda town,house,used,5796,4,4,26,1.13,1.05,87526159
wapda town,plot,used,3201,4,4,26,4.07,0.8,39527702
wapda town,flat,new,4938,2,2,18,4.57,0.94,72935739
model town,flat,new,4938,6,4,14,3.88,1.09,118164046
model town,house,old,1694,1,2,2,2.49,0.46,11348064
satellite town,house,used,2831,6,4,15,2.09,0.63,34617202
wapda town,house,used,2499,3,1,24,2.96,0.77,25998502
satellite town,plot,old,5532,1,4,5,2.58,0.85,75169039
wapda town,house,new,2083,5,1,25,3.93,0.76,26960648
satellite town,flat,old,3559,3,4,11,4.37,0.94,53637106
satellite town,flat,new,1472,1,3,21,1.71,0.41,10104330
aziz bhatti town,plot,used,2027,1,2,25,2.07,0.53,26384903
satellite town,plot,old,4739,5,2,16,2.16,0.95,65400400
model town,plot,new,1577,5,2,34,1.45,1.13,30637862
satellite town,plot,new,5276,3,1,3,2.73,1.02,101362289
wapda town,flat,new,3145,6,2,1,2.46,0.44,26897992
satellite town,flat,old,914,5,3,27,4.17,0.56,8032453
university road,house,old,2478,3,4,3,4.9,0.79,44764519
wapda town,plot,used,4727,1,1,28,4.75,0.59,39289051
university road,flat,new,3146,4,4,9,2.56,0.6,51340252
wapda town,flat,old,5674,5,3,31,3.3,0.93,73289361
model town,house,old,5634,5,2,14,4.72,1.0,91445735
model town,flat,used,1994,6,5,30,2.41,0.92,32851987
model town,flat,new,4718,6,1,1,1.09,1.02,96911348
university road,plot,old,4740,1,2,30,2.41,1.01,86177637
aziz bhatti town,house,old,4917,1,3,24,4.31,0.42,49581378
wapda town,plot,old,1755,3,5,6,3.21,1.01,25689218
model town,plot,old,2508,3,3,20,2.4,0.9,29886097
wapda town,house,used,5630,3,3,21,2.06,0.54,41401320
university road,house,used,2138,1,2,10,2.8,0.57,26743493
aziz bhatti town,plot,new,3274,3,3,30,1.52,1.01,92432759
university road,plot,used,1380,5,1,2,4.3,0.63,22609599
wapda town,plot,new,4361,1,4,14,4.31,0.9,70633172
aziz bhatti town,plot,new,2101,6,3,15,4.58,1.16,91587817
aziz bhatti town,house,old,4781,1,4,3,3.63,1.11,145898936
university road,flat,old,3788,3,1,15,3.38,1.15,87230944
model town,house,old,2766,2,1,11,4.99,0.76,31209981
wapda town,flat,new,3233,5,3,30,4.63,0.63,36310754
satellite town,house,old,5375,5,4,9,3.22,0.62,57213847
satellite town,plot,old,2056,3,3,0,2.61,1.16,37073500
university road,flat,used,5928,5,3,0,1.13,1.14,167766312
wapda town,house,used,3712,6,2,16,1.15,0.67,36976179
wapda town,house,used,3532,2,5,4,1.69,1.07,61012671
university road,house,used,5304,3,2,5,1.27,0.67,78136254
wapda town,plot,new,2194,5,3,22,4.75,0.44,17257232
model town,house,old,2919,5,4,5,4.76,0.98,51232217
university road,house,used,1908,1,1,32,2.05,0.99,37451900
model town,plot,new,3136,4,5,20,2.32,0.47,26933149
wapda town,flat,new,4457,1,5,5,2.51,0.52,42750836
university road,flat,old,1501,3,5,20,1.64,0.94,27169295
wapda town,plot,new,5568,2,3,1,1.18,0.82,77033502
university road,flat,new,5811,2,1,15,2.18,0.58,81609842
wapda town,house,new,913,5,3,13,3.36,0.65,11164931
model town,house,used,3589,1,5,16,2.97,0.99,56078090
model town,flat,used,4451,3,1,9,3.0,1.01,70804282
wapda town,flat,used,2783,6,3,14,2.73,1.06,51035287
university road,flat,old,956,4,2,21,2.62,1.14,20703499
satellite town,plot,old,1939,3,2,14,1.78,0.71,19579319
model town,flat,old,839,4,3,14,3.23,0.77,9958044
model town,plot,used,2592,3,5,33,2.43,1.11,44824814
satellite town,flat,new,2711,4,1,22,4.2,0.41,20130936
wapda town,plot,new,663,1,4,27,2.59,0.68,7167886
university road,plot,old,2953,1,3,11,3.05,1.09,65871110
wapda town,house,old,982,1,5,12,3.42,0.62,8867697
aziz bhatti town,flat,used,4755,2,3,30,3.74,0.93,116414317
model town,house,old,5097,3,5,16,3.69,0.6,44185537
aziz bhatti town,house,used,2357,1,2,10,3.72,0.73,47777898
model town,plot,old,3351,2,5,7,2.04,1.03,52109784
model town,plot,new,3571,5,5,30,2.44,0.81,55532972
aziz bhatti town,plot,new,1980,5,1,1,3.69,0.86,60540666
aziz bhatti town,plot,used,1436,1,3,7,1.64,1.11,43369228
wapda town,house,new,4369,3,3,21,4.01,0.72,50256831
aziz bhatti town,plot,new,2491,6,5,12,1.43,0.96,88227590
wapda town,house,new,4669,3,5,1,2.93,0.77,66986203
wapda town,house,used,3552,1,3,7,1.75,0.53,27655512
wapda town,flat,old,2096,2,1,16,1.75,0.7,17326678
model town,flat,old,2694,2,5,0,2.46,0.58,24784975
model town,plot,used,4317,3,2,7,1.53,0.54,35431022
aziz bhatti town,house,old,975,1,3,8,3.26,0.68,16882474
model town,house,new,1925,3,1,34,2.94,0.48,14973989
aziz bhatti town,house,new,4725,1,2,4,4.05,0.65,100104371
model town,flat,new,3016,5,3,16,4.24,0.42,23979125
university road,house,used,5906,5,2,11,4.25,0.68,100309128
university road,house,used,3459,6,4,15,1.28,1.2,107000123
aziz bhatti town,house,new,5964,6,5,16,2.64,1.1,229342522
model town,flat,used,1120,5,4,4,3.89,0.5,10922127
model town,plot,used,1535,4,2,23,1.31,1.06,23759398
wapda town,plot,used,4950,1,1,33,3.53,1.14,77278966
satellite town,plot,new,5893,2,3,28,3.1,0.61,62239078
aziz bhatti town,flat,used,3954,2,4,8,3.34,1.03,118807529
satellite town,flat,used,1559,1,2,21,1.94,0.79,17975483
satellite town,plot,new,4516,5,3,32,2.13,1.0,84027242
aziz bhatti town,plot,old,3491,4,4,18,4.82,0.56,51315564
model town,flat,new,2054,2,1,31,4.47,0.86,29670553
aziz bhatti town,plot,new,3443,2,3,24,4.43,0.84,86648803
satellite town,house,used,5778,6,1,8,3.14,0.47,50996394
model town,flat,old,5781,3,2,18,3.51,0.98,74779361
university road,plot,used,3835,5,4,12,4.67,0.42,43058183
aziz bhatti town,plot,used,2022,5,1,11,2.27,0.65,38782430
aziz bhatti town,flat,old,1376,5,5,30,3.84,0.79,30050926
model town,flat,old,5845,5,2,13,4.26,1.1,103259538
university road,house,new,4691,5,4,33,1.24,0.44,52388960
university road,flat,new,5951,1,4,23,2.92,1.11,158783445
model town,flat,new,3250,6,2,17,1.55,0.67,39235932
wapda town,house,used,4079,6,1,17,1.58,0.71,43518889
aziz bhatti town,plot,used,2822,4,1,23,2.73,1.05,77639937
aziz bhatti town,flat,old,973,3,4,2,3.76,0.58,15562293
satellite town,plot,old,4960,2,3,25,3.37,0.57,39587152
model town,house,new,1524,2,4,17,2.18,0.5,12852401
satellite town,flat,used,3753,1,4,22,4.19,1.2,73503566
satellite town,house,old,1523,2,3,26,2.07,0.71,14676490
university road,plot,new,2924,4,5,5,1.64,0.52,43247486
aziz bhatti town,house,used,3898,5,1,32,3.9,0.88,96800069
satellite town,flat,new,5742,3,4,31,4.29,0.59,62070637
university road,flat,old,2164,1,4,32,2.6,0.44,18251508
model town,plot,used,5691,4,2,25,4.3,0.65,58022739
satellite town,plot,new,3499,5,2,1,3.93,1.13,84275051
aziz bhatti town,plot,new,866,4,3,34,4.52,1.04,28391337
satellite town,plot,new,5398,6,5,8,1.57,0.64,76248609
model town,flat,used,5969,3,4,14,4.58,1.09,112707401
satellite town,flat,new,5757,6,4,20,4.35,0.54,65593431
aziz bhatti town,flat,old,620,4,1,6,3.44,1.04,16809142
university road,house,used,1526,1,2,16,3.52,0.55,17236838
aziz bhatti town,house,old,1316,1,1,34,2.31,0.45,13166407
university road,plot,new,3531,2,4,15,1.85,0.48,43153319
wapda town,plot,used,2958,3,3,6,3.74,0.9,41018565
aziz bhatti town,plot,used,5647,3,4,3,2.01,1.09,180878361
aziz bhatti town,flat,old,1833,6,4,10,3.09,0.69,37962084
model town,house,new,3461,5,1,22,3.94,1.07,67589186
satellite town,plot,used,2483,4,3,31,2.23,1.04,41049649
university road,plot,new,4189,6,5,14,3.39,0.99,129571842
university road,flat,new,2299,2,5,30,2.32,0.4,22405308
model town,house,used,4758,2,3,29,5.0,1.18,87784015
model town,plot,new,1947,1,5,16,2.25,1.19,40253206
satellite town,plot,used,4279,5,2,15,1.9,0.42,31331362
satellite town,plot,old,2318,4,1,23,2.74,0.55,17927507
aziz bhatti town,plot,old,3117,2,5,15,3.23,0.51,42806569
wapda town,house,used,2788,3,1,23,2.04,0.46,16947819
satellite town,house,used,2915,5,1,5,2.05,0.79,41906032
model town,plot,new,1306,1,3,26,3.47,1.02,22516451
satellite town,flat,used,3487,2,4,1,1.81,1.13,68692274
university road,plot,old,4944,2,4,16,4.22,1.1,108305725
wapda town,flat,new,2047,4,1,31,2.02,0.91,28934640
aziz bhatti town,plot,old,2228,4,1,3,3.27,0.71,42715381
university road,plot,old,3660,5,3,13,1.89,1.06,84925044
university road,flat,old,2319,3,3,34,3.63,0.61,27000560
wapda town,plot,new,2733,6,1,15,3.19,0.53,27549196
aziz bhatti town,house,old,3478,6,3,31,2.33,0.84,76975590
model town,flat,old,5872,4,1,0,4.65,0.52,49121322
aziz bhatti town,house,old,3204,3,3,25,4.65,0.66,51168373
satellite town,flat,used,881,1,1,16,4.72,0.46,6316455
university road,house,old,1912,2,4,1,4.71,0.5,21766054
satellite town,plot,new,1764,3,4,28,3.5,0.97,30778161
model town,plot,used,1847,6,1,28,4.49,0.41,13066434
satellite town,flat,old,2775,5,2,3,2.92,0.95,44090813
aziz bhatti town,house,used,5634,3,4,23,2.3,0.51,75221868
satellite town,plot,new,2789,2,3,11,1.22,0.42,21060410
model town,house,used,2960,2,5,27,2.86,0.78,36343866
model town,house,new,2531,6,3,0,4.69,0.92,52635616
model town,flat,old,2300,5,3,0,4.85,0.7,28075823
aziz bhatti town,plot,used,2808,1,1,31,2.78,0.67,47004726
model town,flat,used,1002,1,3,0,3.84,1.2,20691894
university road,flat,new,2155,6,1,13,3.41,0.99,61182315
model town,plot,old,1290,3,1,17,3.61,1.14,19456633
satellite town,house,new,1312,5,2,31,3.95,0.59,14602232
satellite town,flat,used,4721,5,4,21,3.4,0.89,74053902
satellite town,plot,new,2837,1,3,27,1.85,0.75,35745999
aziz bhatti town,house,new,2315,6,1,14,1.53,0.59,46345634
satellite town,house,old,2337,1,2,6,2.57,0.43,14568720
aziz bhatti town,house,used,2867,6,5,32,1.09,0.91,78402635
aziz bhatti town,flat,new,3925,2,4,34,4.64,0.8,97283561
model town,flat,old,5468,6,1,25,1.76,0.66,52525000
university road,plot,used,2571,5,2,28,4.96,0.42,25220219
model town,house,old,2299,5,1,1,3.08,1.14,42581343
model town,house,old,2187,1,2,31,1.84,0.59,16362442
aziz bhatti town,plot,old,2792,5,4,12,2.79,0.89,70832440
aziz bhatti town,house,used,691,5,3,28,3.08,0.64,12608541
satellite town,house,used,5906,6,5,30,1.93,1.0,108023702
satellite town,plot,old,745,1,4,7,1.93,0.56,6312568
model town,plot,used,662,1,3,29,2.32,0.4,3888074
wapda town,flat,old,1687,1,2,0,4.54,1.1,26469155
wapda town,flat,old,3127,1,2,4,2.2,0.46,19414527
satellite town,flat,new,2686,6,1,24,2.69,1.1,56559555
wapda town,plot,used,637,2,2,33,1.08,0.9,7398872
satellite town,flat,old,4276,1,5,7,3.24,0.62,42569055
aziz bhatti town,house,old,2378,5,5,12,1.49,0.64,43222974
model town,flat,new,4359,1,3,28,2.17,1.2,85708387
university road,flat,new,4421,4,3,34,3.09,0.85,92535855
model town,flat,old,2664,5,5,9,3.31,0.97,44242732
satellite town,plot,old,1745,5,2,25,2.34,0.81,20622706
satellite town,house,new,4095,2,4,10,1.24,0.41,31080738
model town,plot,new,1335,4,3,20,1.17,0.54,12101536
satellite town,house,used,3610,6,2,6,3.85,0.81,55835780
wapda town,flat,new,1656,2,5,31,3.29,0.62,17068293
wapda town,flat,used,2118,3,2,22,1.04,0.97,26487906
satellite town,house,new,1832,3,2,25,4.24,0.56,17712372
satellite town,plot,old,2193,5,5,15,3.35,0.83,32233208
wapda town,plot,used,4732,2,1,16,2.97,0.77,49241389
satellite town,flat,used,3267,2,2,10,4.44,0.61,33545980
satellite town,house,old,3588,1,3,22,2.96,0.98,48758827
model town,house,old,3315,2,5,6,2.4,0.44,22214514
university road,house,new,1793,3,1,13,1.97,0.88,38010733
wapda town,house,used,1661,4,1,3,3.78,1.17,31775102
model town,flat,old,1746,5,1,26,1.9,0.71,17317300
university road,plot,used,2543,3,2,31,1.1,0.6,29552152
satellite town,flat,used,3702,1,5,34,3.93,1.19,73490346
satellite town,house,new,2588,5,2,4,1.35,0.93,48217702
model town,plot,used,2995,4,2,33,3.79,0.63,29247453
satellite town,flat,new,5688,1,1,21,4.13,0.53,51914953
aziz bhatti town,house,used,4228,1,1,6,1.73,0.43,48131699
model town,flat,used,4114,1,5,7,2.59,0.49,34269443
university road,house,used,3107,5,4,34,1.18,0.84,59057648
model town,flat,new,5602,2,4,11,4.22,0.69,74375879
wapda town,flat,new,1224,1,3,3,3.35,1.18,25684639
model town,flat,used,1823,3,2,28,1.59,0.47,11998381
satellite town,house,old,4709,3,4,28,2.58,0.43,28634495
satellite town,plot,old,1221,2,2,14,4.23,1.11,20433280
aziz bhatti town,plot,old,2864,6,1,12,1.13,0.48,37113944
aziz bhatti town,house,old,1271,4,5,26,3.8,1.06,35518504
aziz bhatti town,plot,old,4440,3,2,12,4.86,0.54,61517860
university road,plot,used,1142,6,3,12,4.09,0.47,14382514
aziz bhatti town,flat,old,3580,4,2,29,1.84,0.53,43790269
university road,flat,old,4616,3,5,15,4.32,1.12,115345480
aziz bhatti town,house,used,4333,6,4,10,4.13,0.71,105134089
university road,house,old,2382,3,2,23,4.64,0.76,34342327
model town,flat,new,999,5,2,16,1.76,0.68,11768967
model town,house,old,2787,6,3,20,2.11,1.15,48459502
satellite town,house,old,3557,4,3,22,4.51,0.49,26314649
university road,plot,used,2190,3,2,12,4.15,0.55,27286441
wapda town,house,new,5794,6,3,34,3.07,0.63,65599497
satellite town,house,used,4034,3,1,21,3.63,0.42,25748981
model town,flat,new,3708,1,2,14,4.31,0.64,43167527
university road,house,used,4254,5,3,6,1.17,1.1,111810146
aziz bhatti town,flat,used,1695,1,4,11,3.69,0.43,21437963
wapda town,house,new,3903,5,5,8,3.87,0.61,47971922
model town,plot,new,3171,1,3,34,4.51,1.06,58205702
satellite town,flat,new,4636,5,4,11,1.88,0.98,93987191
university road,house,new,3721,5,4,6,2.92,1.06,113360743
wapda town,house,old,3306,6,5,15,1.35,0.43,22649036
university road,plot,old,3274,3,1,34,2.3,0.81,47610570
aziz bhatti town,house,old,3922,3,4,26,2.27,1.08,99727601
satellite town,plot,new,1391,4,1,8,2.48,1.07,28133818
university road,flat,old,4151,6,1,30,1.76,0.76,64281792
model town,flat,old,4860,2,2,17,1.69,1.06,65086576
satellite town,house,old,1014,1,3,17,3.03,0.83,11690005
model town,flat,old,2999,3,3,5,3.8,1.16,53829775
university road,plot,new,5488,2,3,32,2.52,1.03,130770881
satellite town,plot,used,1764,1,2,34,1.68,0.75,19186701
model town,house,new,1463,1,2,24,2.1,0.54,12546339
aziz bhatti town,plot,used,1183,1,4,32,3.23,1.04,32934131
aziz bhatti town,plot,new,1367,4,4,26,1.44,1.15,47390563
university road,plot,new,953,4,3,1,3.46,0.79,21141566
satellite town,house,old,983,4,2,22,2.05,0.46,6253394
wapda town,flat,old,3459,3,1,12,3.09,0.92,42191782
satellite town,plot,new,2188,1,3,23,4.91,1.09,43067735
aziz bhatti town,flat,old,4571,2,4,6,1.44,0.69,79092115
model town,flat,used,2520,6,4,17,4.51,1.05,48417428
wapda town,house,used,2956,6,2,29,3.16,0.6,27689173
university road,house,old,2051,2,5,2,4.15,1.15,54513736
wapda town,flat,old,2795,4,2,30,2.48,0.44,15522473
university road,house,new,1319,4,1,8,3.86,0.63,21988932
wapda town,flat,new,4696,4,5,12,3.97,0.55,49791819
university road,plot,new,1491,2,5,1,2.71,0.79,32747796
university road,flat,old,2135,4,4,5,2.58,0.97,47096042
wapda town,flat,old,4324,3,3,12,4.0,0.69,41624689
wapda town,plot,new,3412,5,1,27,4.98,0.82,48814031
university road,house,old,1964,5,4,27,1.68,1.07,43330569
aziz bhatti town,flat,used,3253,5,5,15,2.96,0.55,58507935
wapda town,house,used,4407,2,5,27,2.38,0.72,46083812
satellite town,plot,used,5930,6,5,13,1.51,0.43,50174313
model town,flat,new,2242,5,1,0,3.01,0.42,19006970
university road,flat,new,4309,2,4,2,3.29,1.1,129934175
university road,flat,used,2347,3,1,2,4.53,0.66,36816146
model town,flat,used,1160,5,1,29,2.51,1.14,20831826
aziz bhatti town,house,used,4315,1,2,15,2.34,0.79,91599208
model town,house,old,5305,5,4,15,3.49,0.45,39916914
wapda town,plot,used,1704,2,1,29,4.83,0.69,16593806
model town,house,used,927,1,2,34,2.84,0.77,10303415
university road,flat,new,3693,6,3,0,4.44,0.64,74369494
model town,plot,new,3598,1,2,28,1.89,0.78,44341460
satellite town,flat,old,3493,5,5,21,2.02,0.75,41340595
wapda town,flat,used,1139,6,1,18,2.15,0.92,15967433
model town,plot,new,816,1,1,27,2.67,0.96,12613104
university road,flat,old,4669,2,2,20,1.38,0.87,71301568
wapda town,flat,old,5034,3,4,11,1.68,0.61,41710021
university road,plot,old,4694,5,1,8,4.84,0.84,89843655
aziz bhatti town,house,new,3830,3,1,27,4.39,0.8,89042555
satellite town,plot,used,1373,5,4,17,1.44,0.58,13386522
aziz bhatti town,plot,used,4003,5,4,34,4.07,0.77,92565877
satellite town,plot,used,2861,4,1,8,2.03,1.0,47761766
model town,house,old,4612,4,5,30,4.37,1.06,75346309
wapda town,plot,new,1529,1,2,20,1.88,0.93,20964051
model town,house,new,2070,2,5,31,1.93,0.66,23551557
satellite town,flat,used,4881,3,4,16,3.63,1.11,87279554
satellite town,plot,old,3856,3,3,27,2.43,1.02,53850705
satellite town,flat,used,2593,2,4,26,3.13,0.57,23530666
university road,flat,used,639,3,1,33,2.09,0.42,5326395
